********************************************************************************
Field Output Report, written Thu May 28 11:11:24 2015

Source 1
---------

   ODB: C:/Users/ozarraga/Desktop/BeamOnDisk/beamOnDiskMatrix.odb
   Step: presion
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Surface nodal values from source 1 ( Average criteria = 75%, Not averaged across region boundaries )

Output sorted by column "Node Label".

Field Output reported at element nodes for part: BEAM-1

         Element           Facet            Node          CPRESS
            1040               1            1762              0.
            1178               1            1762              0.
            1329               1            1762              0.
             755               1            1763              0.
             904               1            1763              0.
             238               1            1763              0.
            1136               1            1763              0.
             264               1            1764              0.
             638               1            1764              0.
             902               1            1764              0.
             262               1            1764              0.
             334               1            1765              0.
             100               1            1765              0.
             108               1            1765              0.
             669               1            1765              0.
             819               1            1766              0.
             344               1            1766              0.
             345               1            1766              0.
             771               1            1766              0.
            1125               1            1767              0.
            1126               1            1767              0.
             326               1            1767              0.
             336               1            1767              0.
            1435               1            1768              0.
             346               1            1768              0.
             299               1            1768              0.
            1473               1            1768              0.
             333               1            1769              0.
            1448               1            1769              0.
             337               1            1769              0.
            1340               1            1769              0.
            1587               1            1770              0.
             338               1            1770              0.
            1170               1            1770              0.
            1066               1            1770              0.
              82               1            1771              0.
             895               1            1771              0.
            1526               1            1771              0.
             922               1            1771              0.
             700               1            1772              0.
             123               1            1772              0.
             633               1            1772              0.
             634               1            1772              0.
            1539               1            1773              0.
            1538               1            1773              0.
            1514               1            1773              0.
             811               1            1773              0.
            1116               1            1774              0.
             341               1            1774              0.
             970               1            1774              0.
             431               1            1774              0.
            1398               1            1775              0.
            1277               1            1775              0.
            1343               1            1775              0.
            1344               1            1775              0.
             342               1            1776              0.
            1447               1            1776              0.
            1436               1            1776              0.
             146               1            1776              0.
            1248               1            1777              0.
            1078               1            1777              0.
             343               1            1777              0.
            1478               1            1777              0.
            1077               1            1778              0.
             144               1            1778              0.
            1249               1            1778              0.
             117               1            1778              0.
             726               1            1779              0.
             670               1            1779              0.
             116               1            1779              0.
             114               1            1779              0.
             112               1            1780              0.
             202               1            1780              0.
             113               1            1780              0.
             723               1            1780              0.
             110               1            1781              0.
             715               1            1781              0.
             219               1            1781              0.
             853               1            1781              0.
             854               1            1782              0.
              73               1            1782              0.
            1046               1            1782              0.
            1014               1            1782              0.
            1155               1            1783              0.
            1392               1            1783              0.
            1320               1            1783              0.
            1194               1            1783              0.
            1497               1            1784              0.
            1321               1            1784              0.
             457               1            1784              0.
             327               1            1784              0.
             300               1            1785              0.
             301               1            1785              0.
            1169               1            1785              0.
            1213               1            1785              0.
            1215               1            1786              0.
             894               1            1786              0.
            1271               1            1786              0.
            1502               1            1786              0.
              32               1            1787              0.
             626               1            1787              0.
             352               1            1787              0.
             702               1            1787              0.
              30               1            1788              0.
             353               1            1788              0.
             660               1            1788              0.
             354               1            1788              0.
              26               1            1789              0.
             635               1            1789              0.
             650               1            1789              0.
             361               1            1789              0.
              49               1            1790              0.
             362               1            1790              0.
             527               1            1790              0.
              47               1            1790              0.
              58               1            1791              0.
             272               1            1791              0.
             588               1            1791              0.
              48               1            1791              0.
             701               1            1792              0.
             762               1            1792              0.
             590               1            1792              0.
             532               1            1792              0.
             778               1            1793              0.
             618               1            1793              0.
             666               1            1793              0.
             740               1            1793              0.
             155               1            1794              0.
             691               1            1794              0.
             791               1            1794              0.
             824               1            1794              0.
             979               1            1795              0.
             923               1            1795              0.
             652               1            1795              0.
             352               1            1795              0.
            1549               1            1795              0.
             924               1            1796              0.
             810               1            1796              0.
              25               1            1796              0.
             360               1            1796              0.
             839               1            1797              0.
              46               1            1797              0.
             891               1            1797              0.
             792               1            1797              0.
